model,contrast,log_odds_contrast,z,p_raw,odds_ratio,ci_low,ci_high,p_bh
Simple,Overtime: Yes vs No,1.475418838947234,9.469860245993445,2.8021835003588946e-21,4.372866916401547,3.2221647806665836,5.934508744957273,1.9615284502512263e-20
Simple,Satisfaction code 2 vs 1,-0.45250642618297715,-1.9544999583209692,0.05064211978900383,0.636031984900193,0.4040252571076593,1.0012658335077396,0.059082473087171135
Simple,Satisfaction code 3 vs 1,-0.4582788370775347,-2.242868874351642,0.024905271442664922,0.6323711231057302,0.42369028716167134,0.9438338556612028,0.03486738001973089
Simple,Satisfaction code 4 vs 1,-1.0076197665085227,-4.614641171261055,3.937750458042485e-06,0.3650869383474191,0.23797649578381053,0.5600909119738361,1.3782126603148698e-05
Simple,Age: 30 to 40 years,-0.3015378056036498,-3.035480308704333,0.002401529045701893,0.7396798617823518,0.6088178019374609,0.8986700063388768,0.004202675829978313
Simple,"Income: 3,000 to 6,000",-0.48161296502538714,-4.42272406189264,9.746418737799273e-06,0.6177861203350821,0.49905277219090943,0.7647682003711443,2.274164372153164e-05
Simple,Tenure: 5 to 10 years,-0.13845724760709197,-1.5142051187968768,0.12997382383802888,0.8707004750022213,0.7278398838590048,1.041601778058036,0.12997382383802888
Quadratic,Overtime: Yes vs No,1.486754801192217,9.33273224448002,1.0317622961509624e-20,4.422719600887981,3.236595227280422,6.04352638946285,7.222336073056738e-20
Quadratic,Satisfaction code 2 vs 1,-0.4918409443562623,-2.082148217855895,0.03732893341448646,0.6114996205635408,0.3848815054329727,0.9715504140130078,0.03732893341448646
Quadratic,Satisfaction code 3 vs 1,-0.47770243349443586,-2.303674723118223,0.021240909783047802,0.6202067222734335,0.4130729150930904,0.931206971695226,0.02478106141355577
Quadratic,Satisfaction code 4 vs 1,-1.0312895606628167,-4.631417051934783,3.6317149361713563e-06,0.35654687515423084,0.2304503622420099,0.5516401577565944,1.2711002276599749e-05
Quadratic,Age: 30 to 40 years,-0.42799118422165516,-4.0260266143602275,5.6727271136431904e-05,0.6518171610490162,0.5292219818148595,0.8028117236948638,0.00011069975878549115
Quadratic,"Income: 3,000 to 6,000",-0.45500076101245557,-4.000319558939301,6.325700502028065e-05,0.6344474851256059,0.5076671678902833,0.7928887996735668,0.00011069975878549115
Quadratic,Tenure: 5 to 10 years,-0.3531333971561039,-3.379490882251963,0.0007262021612757647,0.7024834778285344,0.5723892211269827,0.862145928692454,0.0010166830257860705
