,coefficient,std_error,z,p_raw,odds_ratio,ci_low,ci_high,p_bh
Intercept,5.38897329409125,1.2024236385531586,4.481759274606116,7.403022171662049e-06,218.9784436371456,20.744191263281035,2311.5655929486556,
"C(OverTime, Treatment(reference=""No""))[T.Yes]",1.475418838947234,0.15580154306622016,9.469860245993445,2.8021835003588946e-21,4.372866916401547,3.2221647806665836,5.934508744957273,1.9615284502512263e-20
"C(JobSatisfaction, Treatment(reference=1))[T.2]",-0.45250642618297715,0.23152030485163422,-1.9544999583209692,0.05064211978900383,0.636031984900193,0.4040252571076593,1.0012658335077396,0.059082473087171135
"C(JobSatisfaction, Treatment(reference=1))[T.3]",-0.4582788370775347,0.20432707516618057,-2.242868874351642,0.024905271442664922,0.6323711231057302,0.42369028716167134,0.9438338556612028,0.03486738001973089
"C(JobSatisfaction, Treatment(reference=1))[T.4]",-1.0076197665085227,0.21835278824792523,-4.614641171261055,3.937750458042485e-06,0.3650869383474191,0.23797649578381053,0.5600909119738361,1.3782126603148698e-05
age10,-0.3015378056036498,0.09933775710518723,-3.035480308704333,0.002401529045701893,0.7396798617823518,0.6088178019374609,0.8986700063388768,0.004202675829978313
log2_income,-0.48161296502538714,0.10889509684203268,-4.42272406189264,9.746418737799273e-06,0.6177861203350821,0.49905277219090943,0.7647682003711443,2.274164372153164e-05
tenure5,-0.13845724760709197,0.09143889813099049,-1.5142051187968768,0.12997382383802888,0.8707004750022213,0.7278398838590048,1.041601778058036,0.12997382383802888
