,full_OR,one_case_deletion_min_OR,one_case_deletion_max_OR
Intercept,218.9784436371456,189.05366904282738,253.49397979171266
"C(OverTime, Treatment(reference=""No""))[T.Yes]",4.372866916401547,4.330311998765559,4.451249809729565
"C(JobSatisfaction, Treatment(reference=1))[T.2]",0.636031984900193,0.6161744740118523,0.6362479753894966
"C(JobSatisfaction, Treatment(reference=1))[T.3]",0.6323711231057302,0.6194546761085236,0.632344491256166
"C(JobSatisfaction, Treatment(reference=1))[T.4]",0.3650869383474191,0.354538758150811,0.3648773330452483
age10,0.7396798617823518,0.7214155123133734,0.742981161260092
log2_income,0.6177861203350821,0.6103050535310559,0.629890666704807
tenure5,0.8707004750022213,0.8264277904154446,0.876190964483164
